,,,Type,,Date,,Num,,Name,,Memo,,Account,,Clr,,Split,,Amount,,Balance
Jan - Dec 26,,,,,,,,,,,,,,,,,,,,,
,,,Check,,01/07/2026,,12128,,MAY VALLEY WATER ASSOCIATION,,chlorine,,430 · WATER TREATMENT,,,,101 · CASH IN BANK - UTILITY,,,,-27.34
,,,Check,,01/07/2026,,12128,,MAY VALLEY WATER ASSOCIATION,,POSTAGE FOR TESTING AND HOT SPOT CHARGES,,465 · OFFICE SUPPLIES/POSTAGE,,,,101 · CASH IN BANK - UTILITY,,27.34,,0.00
,,,Check,,01/07/2026,,12129,,AMANDA BROWN,,,,101 · CASH IN BANK - UTILITY,,Ö,,415.11 · AUDIT & BUDGET EXPENSE,,-400.00,,-400.00
,,,Check,,01/07/2026,,12129,,AMANDA BROWN,,BUDGET,,415.11 · AUDIT & BUDGET EXPENSE,,,,101 · CASH IN BANK - UTILITY,,400.00,,0.00
,,,Deposit,,01/08/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,209.99,,209.99
,,,Deposit,,01/08/2026,,,,WATER PAYMENTS,,VIA CREDIT CARD,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-209.99,,0.00
,,,Check,,01/08/2026,,12130,,LAWMA,,,,101 · CASH IN BANK - UTILITY,,Ö,,416 · DUES & SUBSCRIPTIONS,,-658.00,,-658.00
,,,Check,,01/08/2026,,12130,,LAWMA,,ASSESSMENT FOR LAWMA SHARES,,416 · DUES & SUBSCRIPTIONS,,,,101 · CASH IN BANK - UTILITY,,658.00,,0.00
,,,Deposit,,01/08/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,786.00,,786.00
,,,Deposit,,01/08/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-786.00,,0.00
,,,Deposit,,01/09/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,475.14,,475.14
,,,Deposit,,01/09/2026,,,,WATER PAYMENTS,,VIA CREDIT CARD,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-475.14,,0.00
,,,Check,,01/12/2026,,12117,,BELLOMY INSURANCE AGENCY,,,,101 · CASH IN BANK - UTILITY,,Ö,,-SPLIT-,,"-4,674.25",,"-4,674.25"
,,,Check,,01/12/2026,,12117,,BELLOMY INSURANCE AGENCY,,,,480 · INSURANCE - PROPERTY/AUTO/LIAB,,,,101 · CASH IN BANK - UTILITY,,"3,674.25",,"-1,000.00"
,,,Check,,01/12/2026,,12117,,BELLOMY INSURANCE AGENCY,,,,480.2 · INSURANCE - TRASH TRUCK AND DUM,,,,101 · CASH IN BANK - UTILITY,,"1,000.00",,0.00
,,,Deposit,,01/12/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,100.00,,100.00
,,,Deposit,,01/12/2026,,,,WATER PAYMENTS,,VIA CREDIT CARD,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-100.00,,0.00
,,,Check,,01/12/2026,,12131,,PETTY CASH,,,,101 · CASH IN BANK - UTILITY,,Ö,,465 · OFFICE SUPPLIES/POSTAGE,,-9.80,,-9.80
,,,Check,,01/12/2026,,12131,,PETTY CASH,,large postage items,,465 · OFFICE SUPPLIES/POSTAGE,,,,101 · CASH IN BANK - UTILITY,,9.80,,0.00
,,,Deposit,,01/12/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,"1,881.00",,"1,881.00"
,,,Deposit,,01/12/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,"-1,881.00",,0.00
,,,Deposit,,01/12/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,-SPLIT-,,"2,865.00",,"2,865.00"
,,,Deposit,,01/12/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,"-1,365.00",,"1,500.00"
,,,Deposit,,01/12/2026,,,,DUE TO FROM WSD,,MNG,,223 · DUE TO FROM WSD-GENERAL,,,,101 · CASH IN BANK - UTILITY,,-225.00,,"1,275.00"
,,,Deposit,,01/12/2026,,,,DUE TO FROM WSD,,MNG,,222 · DUE TO/FROM WSD,,,,101 · CASH IN BANK - UTILITY,,-275.00,,"1,000.00"
,,,Deposit,,01/12/2026,,,,DUE TO FROM BCL,,MNG,,270.2 · DUE TO/FROM BROOKSIDE,,,,101 · CASH IN BANK - UTILITY,,"-1,000.00",,0.00
,,,Check,,01/12/2026,,3,,ELEMENT ENGINEERING,,VOID:,,101 · CASH IN BANK - UTILITY,,Ö,,412 · WATER SUPPLIES/REPAIRS,,0.00,,0.00
